time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-29T17:30:13.574Z,31.9789,49.8716,10,4.1,mb,,75,2.278,1.04,us,us60006pfe,2020-02-19T18:57:58.040Z,"53km E of Masjed Soleyman, Iran",earthquake,4.4,1.9,0.145,16,reviewed,us,us
2019-11-29T17:20:13.576Z,31.9436,49.8143,10,5,mb,,60,2.23,0.79,us,us70006ehm,2020-02-19T18:58:20.040Z,"48km E of Masjed Soleyman, Iran",earthquake,1.7,1.8,0.04,205,reviewed,us,us
2019-11-29T17:12:57.869Z,-31.4152,-178.0751,10,4.9,mb,,110,2.166,0.88,us,us70006eht,2020-02-19T18:58:20.040Z,"78km E of L'Esperance Rock, New Zealand",earthquake,11.1,1.8,0.11,28,reviewed,us,us
2019-11-29T16:51:47.269Z,18.6032,145.5512,253.55,3.7,mb,,98,3.351,0.4,us,us60006pez,2020-02-19T18:57:57.040Z,"21km SW of Agrihan, Northern Mariana Islands",earthquake,15.2,9.6,0.123,17,reviewed,us,us
2019-11-29T15:33:04.130Z,19.05,-67.187,8,2.79,md,7,306,0.5874,0.28,pr,pr2019333009,2019-11-29T18:14:05.424Z,"62km N of San Antonio, Puerto Rico",earthquake,1.46,1.15,0.16,6,reviewed,pr,pr
2019-11-29T15:16:14.490Z,18.549,-66.7211,81,2.56,md,7,225,0.205,0.29,pr,pr2019333008,2019-11-29T18:13:38.264Z,"8km N of Arecibo, Puerto Rico",earthquake,2.1,1.52,0.06,5,reviewed,pr,pr
2019-11-29T15:08:44.700Z,18.9836,-67.1885,37,4.78,ml,23,202,0.5219,0.82,pr,pr2019333005,2020-02-19T18:58:20.040Z,"51km N of San Antonio, Puerto Rico",earthquake,3.01,12.6,0.11,10,reviewed,pr,pr
2019-11-29T14:57:27.878Z,24.8435,124.7815,35,4.6,mb,,88,1.653,0.86,us,us70006f2s,2020-02-19T18:58:29.040Z,"50km W of Hirara, Japan",earthquake,8.4,2,0.119,21,reviewed,us,us
2019-11-29T14:43:38.405Z,-8.1171,-107.069,10,4.9,mb,,166,26.864,0.36,us,us70006eel,2020-02-19T18:58:20.040Z,"Central East Pacific Rise",earthquake,8,2,0.108,27,reviewed,us,us
2019-11-29T14:08:39.950Z,19.1321,-64.6723,41,3.35,md,6,340,1.5376,0.27,pr,pr2019333007,2020-02-19T18:58:20.040Z,"66km N of Road Town, British Virgin Islands",earthquake,4.47,18.67,0.24,5,reviewed,pr,pr
2019-11-29T14:06:44.734Z,18.6317,145.5589,183.26,4.3,mb,,122,3.379,0.34,us,us60006per,2020-02-19T18:57:57.040Z,"18km SW of Agrihan, Northern Mariana Islands",earthquake,15.3,9.8,0.133,16,reviewed,us,us
2019-11-29T13:43:06.839Z,35.10866667,-95.38533333,6.8,2.57,ml,41,132,0.1160772217,0.19,ok,ok2019xjqe,2020-02-19T18:58:19.040Z,"1km WSW of Quinton, Oklahoma",earthquake,,0.5,0.21,9,reviewed,ok,ok
2019-11-29T12:56:20.585Z,13.7352,-89.3216,130.34,4.1,mb,,156,0.66,0.8,us,us60006pf2,2020-02-19T18:57:57.040Z,"7km NW of Santa Tecla, El Salvador",earthquake,7.9,7.7,0.088,38,reviewed,us,us
2019-11-29T12:51:21.060Z,-4.6133,-105.4943,10,4.6,mb,,163,24.471,0.65,us,us60006pen,2020-02-19T18:57:57.040Z,"Central East Pacific Rise",earthquake,7.4,1.9,0.08,47,reviewed,us,us
2019-11-29T12:29:18.815Z,5.1722,127.1456,52.28,4,mb,,175,2.445,0.76,us,us60006pek,2020-02-19T18:57:57.040Z,"169km SE of Pondaguitan, Philippines",earthquake,9.3,10.4,0.133,15,reviewed,us,us
2019-11-29T12:25:01.885Z,-4.7382,-105.5816,10,4.9,mb,,181,15.8,0.63,us,us70006edz,2020-02-19T18:58:19.040Z,"Central East Pacific Rise",earthquake,14.4,1.9,0.041,187,reviewed,us,us
2019-11-29T12:05:35.342Z,-4.539,-105.1208,10,4.4,mb,,162,22.895,0.37,us,us60006pf0,2020-02-19T18:57:57.040Z,"Central East Pacific Rise",earthquake,9.5,2,0.112,23,reviewed,us,us
2019-11-29T11:11:38.288Z,62.3214,-149.378,47.9,2.5,ml,,,,0.46,ak,ak019fawkrw2,2020-02-19T18:58:19.040Z,"30km NE of Y, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-11-29T11:06:02.888Z,-21.3616,-68.7307,114.92,4.8,mwr,,41,0.643,0.99,us,us70006edi,2020-02-19T18:58:19.040Z,"124km N of Calama, Chile",earthquake,6.3,4.6,0.047,44,reviewed,us,us
2019-11-29T10:39:40.451Z,6.9174,124.7976,10,4,mb,,123,0.79,0.49,us,us70006f2m,2020-02-19T18:58:29.040Z,"7km WSW of Dunguan, Philippines",earthquake,6.4,2,0.184,10,reviewed,us,us
2019-11-29T09:06:18.160Z,19.288,-67.343,54,3.02,md,7,306,0.9137,0.24,pr,pr2019333003,2019-11-29T11:08:37.756Z,"91km NNW of San Antonio, Puerto Rico",earthquake,2.37,7.08,0.12,6,reviewed,pr,pr
2019-11-29T08:20:23.525Z,63.1975,-148.5477,6,2.7,ml,,,,0.62,ak,ak019fauudff,2020-02-19T18:58:19.040Z,"29km SE of Cantwell, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2019-11-29T08:02:40.918Z,41.5134,19.5765,10,4.3,mb,,66,0.945,1,us,us70006ecm,2020-02-19T18:58:19.040Z,"11km SW of Mamurras, Albania",earthquake,5.5,1.9,0.137,16,reviewed,us,us
2019-11-29T07:45:59.710Z,18.2445,-68.0371,96,2.81,md,6,330,0.5752,0.26,pr,pr2019333002,2020-02-19T18:58:19.040Z,"50km SSE of Punta Cana, Dominican Republic",earthquake,3.06,2.99,0.29,6,reviewed,pr,pr
2019-11-29T06:33:58.835Z,18.2333,146.5105,35.72,4.2,mb,,103,3.055,0.28,us,us60006pee,2020-02-19T18:57:57.040Z,"79km E of Pagan, Northern Mariana Islands",earthquake,13.6,6.1,0.187,13,reviewed,us,us
2019-11-29T05:47:45.318Z,37.727,-116.0282,4.3,2.6,ml,40,68.07,0.237,0.1989,nn,nn00711912,2020-02-19T18:58:19.040Z,"59km SSE of Warm Springs, Nevada",earthquake,,2.5,0.22,19,reviewed,nn,nn
2019-11-29T05:39:07.642Z,51.8671,-174.3835,35,2.6,ml,,247,0.354,0.88,us,us60006m2t,2020-02-19T18:57:51.040Z,"38km SSW of Atka, Alaska",earthquake,2.6,2,,,reviewed,us,ak
2019-11-29T05:04:31.296Z,60.6851,-147.5536,15.6,2.9,ml,,,,0.6,ak,ak019fasynnv,2020-02-19T18:58:19.040Z,"62km E of Whittier, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-11-29T04:29:25.310Z,-13.7738,-76.5791,35,4.3,mb,,163,1.793,0.99,us,us60006pe9,2020-02-19T18:57:56.040Z,"35km WNW of Paracas, Peru",earthquake,3.9,2,0.239,6,reviewed,us,us
2019-11-29T04:24:27.370Z,19.447,-67.425,16,2.88,md,6,314,1.0285,0.29,pr,pr2019333001,2020-02-19T18:58:19.040Z,"101km NNW of Isabela, Puerto Rico",earthquake,8.86,17.84,0.25,4,reviewed,pr,pr
2019-11-29T04:01:40.285Z,39.1619,143.017,19,5.4,mww,,26,2.212,0.9,us,us70006eaz,2020-02-19T18:58:19.040Z,"98km E of Kamaishi, Japan",earthquake,6.8,1.8,0.073,18,reviewed,us,us
2019-11-29T03:39:53.536Z,51.5692,-174.8738,35,2.8,ml,,243,0.759,0.45,us,us60006m2s,2020-02-19T18:57:50.040Z,"83km SW of Atka, Alaska",earthquake,4.2,2,,,reviewed,us,ak
2019-11-29T03:28:40.902Z,9.7537,126.5246,35,4.7,mb,,120,2.826,0.73,us,us60006pe6,2020-02-19T18:57:56.040Z,"40km E of General Luna, Philippines",earthquake,14.3,2,0.165,11,reviewed,us,us
2019-11-29T02:47:20.191Z,52.322,-167.8437,10,4,mb,,179,0.896,0.77,us,us60006m2r,2020-02-19T18:57:50.040Z,"97km SE of Nikolski, Alaska",earthquake,2.4,1.9,0.149,12,reviewed,us,us
