time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-30T01:20:26.157Z,62.1742,-147.7954,34.2,3.8,ml,,,,0.61,ak,ak019cjifiox,2019-12-20T19:03:55.040Z,"69km NE of Sutton-Alpine, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-09-30T01:03:53.685Z,12.7325,-90.2424,10,4.4,mb,,191,1.865,1.47,us,us70005npp,2019-12-20T19:03:55.040Z,"105km SSW of Acajutla, El Salvador",earthquake,10.2,2,0.055,96,reviewed,us,us
2019-09-30T00:21:09.600Z,19.2736,-67.1665,71,2.87,md,8,256,0.9425,0.51,pr,pr2019273014,2019-09-30T12:23:13.544Z,"86km N of Isabela, Puerto Rico",earthquake,5.69,12.76,0.2,7,reviewed,pr,pr
2019-09-30T00:13:45.160Z,19.3605,-67.294,39,2.73,md,7,308,0.9935,0.19,pr,pr2019273010,2019-09-30T09:36:10.719Z,"98km NNW of San Antonio, Puerto Rico",earthquake,1.66,9,0.26,5,reviewed,pr,pr
2019-09-30T00:11:07.730Z,19.2583,-67.4375,67,2.59,md,13,303,0.8555,0.39,pr,pr2019273006,2019-12-20T19:03:59.040Z,"95km NNW of San Antonio, Puerto Rico",earthquake,2.94,6.73,0.39,13,reviewed,pr,pr
2019-09-29T23:55:36.700Z,19.113,-67.1785,20,2.86,md,20,285,0.649,0.38,pr,pr2019272053,2019-12-20T19:03:54.040Z,"63km N of Isabela, Puerto Rico",earthquake,1.76,32.71,0.26,19,reviewed,pr,pr
2019-09-29T23:46:37.440Z,19.3123,-67.3631,57,2.77,md,8,321,0.8816,0.18,pr,pr2019272062,2019-09-30T06:22:08.361Z,"94km NNW of San Antonio, Puerto Rico",earthquake,2.76,6.96,0.2,6,reviewed,pr,pr
2019-09-29T23:08:57.523Z,12.8016,-90.2499,10,4.2,mb,,171,1.807,1.14,us,us70005s50,2019-12-20T19:04:34.040Z,"98km SSW of Acajutla, El Salvador",earthquake,6.3,2,0.091,34,reviewed,us,us
2019-09-29T22:56:27.710Z,36.892,-121.2418333,6.68,2.78,md,70,70,0.04714,0.09,nc,nc73283660,2019-10-11T04:14:02.302Z,"13km NNE of Tres Pinos, CA",earthquake,0.13,0.32,0.171,105,reviewed,nc,nc
2019-09-29T22:48:08.930Z,19.328,-67.3693,31,2.93,md,11,308,0.8984,0.34,pr,pr2019272060,2019-12-20T19:03:58.040Z,"100km NNW of San Antonio, Puerto Rico",earthquake,2.15,17,0.17,9,reviewed,pr,pr
2019-09-29T22:47:38.138Z,36.6293,70.9558,207.97,4.2,mb,,76,1.06,0.41,us,us70005nnk,2019-12-20T19:03:54.040Z,"28km SSE of Jarm, Afghanistan",earthquake,4.9,7.9,0.215,6,reviewed,us,us
